Year,Season,NOC,Total_Medals,Gold,Silver,Bronze,Men_Medals,Women_Medals,Is_Host
1968,Winter,GDR,5,1,2,2,4.0,1.0,0
1968,Winter,FIN,5,1,2,2,3.0,2.0,0
1968,Winter,ITA,4,4,0,0,3.0,1.0,0
1968,Winter,TCH,4,1,2,1,3.0,1.0,0
1968,Winter,CAN,3,1,1,1,1.0,2.0,0
1968,Winter,ROU,1,0,0,1,1.0,0.0,0
1968,Winter,ESP,0,0,0,0,0.0,0.0,0
1968,Winter,JPN,0,0,0,0,0.0,0.0,0
1968,Winter,TUR,0,0,0,0,0.0,0.0,0
1968,Winter,HUN,0,0,0,0,0.0,0.0,0
1968,Winter,GRE,0,0,0,0,0.0,0.0,0
1968,Winter,GBR,0,0,0,0,0.0,0.0,0
1968,Winter,BUL,0,0,0,0,0.0,0.0,0
1968,Winter,YUG,0,0,0,0,0.0,0.0,0
1968,Winter,MAR,0,0,0,0,0.0,0.0,0
1968,Winter,POL,0,0,0,0,0.0,0.0,0
1968,Winter,IRI,0,0,0,0,0.0,0.0,0
1968,Winter,LIB,0,0,0,0,0.0,0.0,0
1968,Winter,MGL,0,0,0,0,0.0,0.0,0
1968,Winter,LIE,0,0,0,0,0.0,0.0,0
1968,Winter,ISL,0,0,0,0,0.0,0.0,0
1968,Winter,NZL,0,0,0,0,0.0,0.0,0
1968,Winter,CHI,0,0,0,0,0.0,0.0,0
1968,Winter,IND,0,0,0,0,0.0,0.0,0
1968,Winter,DEN,0,0,0,0,0.0,0.0,0
1968,Winter,AUS,0,0,0,0,0.0,0.0,0
1968,Winter,KOR,0,0,0,0,0.0,0.0,0
1968,Winter,ARG,0,0,0,0,0.0,0.0,0
1972,Summer,URS,99,50,27,22,76.0,23.0,0
1972,Summer,USA,94,33,31,30,72.0,22.0,0
1972,Summer,GDR,66,20,23,23,37.0,29.0,0
1972,Summer,FRG,40,13,11,16,27.0,13.0,1
1972,Summer,HUN,35,6,13,16,29.0,6.0,0
1972,Summer,JPN,29,13,8,8,27.0,2.0,0
1972,Summer,POL,21,7,5,9,19.0,2.0,0
1972,Summer,BUL,21,6,10,5,17.0,4.0,0
1972,Summer,ITA,18,5,3,10,13.0,5.0,0
1972,Summer,GBR,18,4,5,9,15.0,3.0,0
1972,Summer,AUS,17,8,7,2,7.0,10.0,0
1972,Summer,ROU,16,3,6,7,12.0,4.0,0
1972,Summer,SWE,16,4,6,6,13.0,3.0,0
1972,Summer,FRA,13,2,4,7,13.0,0.0,0
1972,Summer,KEN,9,2,3,4,9.0,0.0,0
1972,Summer,CUB,8,3,1,4,6.0,2.0,0
1972,Summer,FIN,8,3,1,4,8.0,0.0,0
1972,Summer,TCH,8,2,4,2,6.0,2.0,0
1972,Summer,CAN,5,0,2,3,3.0,2.0,0
1972,Summer,NED,5,3,1,1,4.0,1.0,0
1972,Summer,YUG,5,2,1,2,5.0,0.0,0
1972,Summer,PRK,5,1,1,3,4.0,1.0,0
1972,Summer,NOR,4,2,1,1,4.0,0.0,0
1972,Summer,COL,3,0,1,2,3.0,0.0,0
1972,Summer,IRI,3,0,2,1,3.0,0.0,0
1972,Summer,AUT,3,0,1,2,2.0,1.0,0
1972,Summer,SUI,3,0,3,0,3.0,0.0,0
1972,Summer,NZL,3,1,1,1,3.0,0.0,0
1972,Summer,ETH,2,0,0,2,2.0,0.0,0
1972,Summer,BRA,2,0,0,2,2.0,0.0,0
1972,Summer,UGA,2,1,1,0,2.0,0.0,0
1972,Summer,GRE,2,0,2,0,2.0,0.0,0
1972,Summer,BEL,2,0,2,0,2.0,0.0,0
1972,Summer,NGR,1,0,0,1,1.0,0.0,0
1972,Summer,ARG,1,0,1,0,1.0,0.0,0
1972,Summer,LIB,1,0,1,0,1.0,0.0,0
1972,Summer,GHA,1,0,0,1,1.0,0.0,0
1972,Summer,MEX,1,0,1,0,1.0,0.0,0
1972,Summer,DEN,1,1,0,0,1.0,0.0,0
1972,Summer,PAK,1,0,1,0,1.0,0.0,0
1972,Summer,TUR,1,0,1,0,1.0,0.0,0
1972,Summer,JAM,1,0,0,1,1.0,0.0,0
1972,Summer,ESP,1,0,0,1,1.0,0.0,0
1972,Summer,KOR,1,0,1,0,1.0,0.0,0
1972,Summer,IND,1,0,0,1,1.0,0.0,0
1972,Summer,MGL,1,0,1,0,1.0,0.0,0
1972,Summer,TUN,1,0,1,0,1.0,0.0,0
1972,Summer,NIG,1,0,0,1,1.0,0.0,0
1972,Summer,SUD,0,0,0,0,0.0,0.0,0
1972,Summer,CHA,0,0,0,0,0.0,0.0,0
1972,Summer,TAN,0,0,0,0,0.0,0.0,0
1972,Summer,KUW,0,0,0,0,0.0,0.0,0
1972,Summer,EGY,0,0,0,0,0.0,0.0,0
1972,Summer,SOM,0,0,0,0,0.0,0.0,0
1972,Summer,PER,0,0,0,0,0.0,0.0,0
1972,Summer,URU,0,0,0,0,0.0,0.0,0
1972,Summer,CMR,0,0,0,0,0.0,0.0,0
1972,Summer,PHI,0,0,0,0,0.0,0.0,0
1972,Summer,TOG,0,0,0,0,0.0,0.0,0
1972,Summer,AHO,0,0,0,0,0.0,0.0,0
1972,Summer,BEN,0,0,0,0,0.0,0.0,0
1972,Summer,MAR,0,0,0,0,0.0,0.0,0
1972,Summer,KSA,0,0,0,0,0.0,0.0,0
1972,Summer,POR,0,0,0,0,0.0,0.0,0
1972,Summer,PUR,0,0,0,0,0.0,0.0,0
1972,Summer,ALG,0,0,0,0,0.0,0.0,0
1972,Summer,INA,0,0,0,0,0.0,0.0,0
1972,Summer,ISR,0,0,0,0,0.0,0.0,0
1972,Summer,ISV,0,0,0,0,0.0,0.0,0
1972,Summer,ESA,0,0,0,0,0.0,0.0,0
1972,Summer,MAS,0,0,0,0,0.0,0.0,0
1972,Summer,BER,0,0,0,0,0.0,0.0,0
1972,Summer,SEN,0,0,0,0,0.0,0.0,0
1972,Summer,MAD,0,0,0,0,0.0,0.0,0
1972,Summer,LUX,0,0,0,0,0.0,0.0,0
1972,Summer,THA,0,0,0,0,0.0,0.0,0
1972,Summer,TTO,0,0,0,0,0.0,0.0,0
1972,Summer,AFG,0,0,0,0,0.0,0.0,0
1972,Summer,BOL,0,0,0,0,0.0,0.0,0
1972,Summer,PAN,0,0,0,0,0.0,0.0,0
1972,Summer,GUY,0,0,0,0,0.0,0.0,0
1972,Summer,ISL,0,0,0,0,0.0,0.0,0
1972,Summer,MYA,0,0,0,0,0.0,0.0,0
1972,Summer,CIV,0,0,0,0,0.0,0.0,0
1972,Summer,IRL,0,0,0,0,0.0,0.0,0
1972,Summer,LIE,0,0,0,0,0.0,0.0,0
1972,Summer,VEN,0,0,0,0,0.0,0.0,0
1972,Summer,CHI,0,0,0,0,0.0,0.0,0
1972,Summer,MON,0,0,0,0,0.0,0.0,0
1972,Summer,BAH,0,0,0,0,0.0,0.0,0
1972,Summer,CGO,0,0,0,0,0.0,0.0,0
1972,Summer,BAR,0,0,0,0,0.0,0.0,0
1972,Summer,DOM,0,0,0,0,0.0,0.0,0
1972,Summer,MLT,0,0,0,0,0.0,0.0,0
1972,Summer,BUR,0,0,0,0,0.0,0.0,0
1972,Summer,SUR,0,0,0,0,0.0,0.0,0
1972,Summer,GUA,0,0,0,0,0.0,0.0,0
1972,Summer,MLI,0,0,0,0,0.0,0.0,0
1972,Summer,NCA,0,0,0,0,0.0,0.0,0
1972,Summer,SMR,0,0,0,0,0.0,0.0,0
1972,Summer,CRC,0,0,0,0,0.0,0.0,0
1972,Summer,HKG,0,0,0,0,0.0,0.0,0
1972,Summer,SGP,0,0,0,0,0.0,0.0,0
1972,Summer,TPE,0,0,0,0,0.0,0.0,0
1972,Summer,HAI,0,0,0,0,0.0,0.0,0
1972,Summer,CAM,0,0,0,0,0.0,0.0,0
1972,Summer,ZAM,0,0,0,0,0.0,0.0,0
1972,Summer,MAW,0,0,0,0,0.0,0.0,0
1972,Summer,ECU,0,0,0,0,0.0,0.0,0
1972,Summer,SYR,0,0,0,0,0.0,0.0,0
1972,Summer,PAR,0,0,0,0,0.0,0.0,0
1972,Summer,SRI,0,0,0,0,0.0,0.0,0
1972,Summer,VNM,0,0,0,0,0.0,0.0,0
1972,Summer,LBR,0,0,0,0,0.0,0.0,0
1972,Summer,NEP,0,0,0,0,0.0,0.0,0
1972,Summer,ALB,0,0,0,0,0.0,0.0,0
1972,Summer,SWZ,0,0,0,0,0.0,0.0,0
1972,Summer,GAB,0,0,0,0,0.0,0.0,0
1972,Summer,LES,0,0,0,0,0.0,0.0,0
1972,Summer,BIZ,0,0,0,0,0.0,0.0,0
1972,Summer,FIJ,0,0,0,0,0.0,0.0,0
1972,Winter,URS,16,8,5,3,8.0,8.0,0
1972,Winter,GDR,14,4,3,7,10.0,4.0,0
1972,Winter,NOR,12,2,5,5,11.0,1.0,0
1972,Winter,SUI,10,4,3,3,8.0,2.0,0
1972,Winter,NED,9,4,3,2,4.0,5.0,0
1972,Winter,USA,8,3,2,3,1.0,7.0,0
1972,Winter,AUT,5,1,2,2,1.0,4.0,0
1972,Winter,FRG,5,3,1,1,4.0,1.0,0
1972,Winter,ITA,5,2,2,1,5.0,0.0,0
1972,Winter,FIN,5,0,4,1,2.0,3.0,0
1972,Winter,SWE,4,1,1,2,4.0,0.0,0
1972,Winter,JPN,3,1,1,1,3.0,0.0,1
1972,Winter,FRA,3,0,1,2,1.0,2.0,0
1972,Winter,TCH,3,1,0,2,2.0,1.0,0
1972,Winter,CAN,1,0,1,0,0.0,1.0,0
1972,Winter,POL,1,1,0,0,1.0,0.0,0
1972,Winter,ESP,1,1,0,0,1.0,0.0,0
1972,Winter,GRE,0,0,0,0,0.0,0.0,0
1972,Winter,HUN,0,0,0,0,0.0,0.0,0
1972,Winter,IRI,0,0,0,0,0.0,0.0,0
1972,Winter,GBR,0,0,0,0,0.0,0.0,0
1972,Winter,YUG,0,0,0,0,0.0,0.0,0
1972,Winter,BEL,0,0,0,0,0.0,0.0,0
1972,Winter,ROU,0,0,0,0,0.0,0.0,0
1972,Winter,LIE,0,0,0,0,0.0,0.0,0
1972,Winter,KOR,0,0,0,0,0.0,0.0,0
1972,Winter,TPE,0,0,0,0,0.0,0.0,0
1972,Winter,PRK,0,0,0,0,0.0,0.0,0
1972,Winter,PHI,0,0,0,0,0.0,0.0,0
1972,Winter,AUS,0,0,0,0,0.0,0.0,0
1972,Winter,MGL,0,0,0,0,0.0,0.0,0
1972,Winter,NZL,0,0,0,0,0.0,0.0,0
1972,Winter,LIB,0,0,0,0,0.0,0.0,0
1972,Winter,ARG,0,0,0,0,0.0,0.0,0
1972,Winter,BUL,0,0,0,0,0.0,0.0,0
1976,Summer,URS,125,49,41,35,89.0,36.0,0
1976,Summer,USA,94,34,35,25,75.0,19.0,0
1976,Summer,GDR,90,40,25,25,41.0,49.0,0
1976,Summer,FRG,39,10,12,17,33.0,6.0,0
1976,Summer,ROU,27,4,9,14,19.0,8.0,0
1976,Summer,POL,26,7,6,13,25.0,1.0,0
1976,Summer,JPN,25,9,6,10,24.0,1.0,0
1976,Summer,BUL,22,6,9,7,14.0,8.0,0
1976,Summer,HUN,22,4,5,13,16.0,6.0,0
1976,Summer,GBR,13,3,5,5,13.0,0.0,0
1976,Summer,CUB,13,6,4,3,13.0,0.0,0
1976,Summer,ITA,13,2,7,4,11.0,2.0,0
1976,Summer,CAN,11,0,5,6,4.0,7.0,1
1976,Summer,FRA,9,2,3,4,8.0,1.0,0
1976,Summer,TCH,8,2,2,4,7.0,1.0,0
1976,Summer,YUG,8,2,3,3,8.0,0.0,0
1976,Summer,FIN,6,4,2,0,6.0,0.0,0
1976,Summer,BEL,6,0,3,3,6.0,0.0,0
1976,Summer,KOR,6,1,1,4,5.0,1.0,0
1976,Summer,NED,5,0,2,3,3.0,2.0,0
1976,Summer,AUS,5,0,1,4,5.0,0.0,0
1976,Summer,SWE,5,4,1,0,4.0,1.0,0
1976,Summer,NZL,4,2,1,1,4.0,0.0,0
1976,Summer,SUI,4,1,1,2,3.0,1.0,0
1976,Summer,DEN,3,1,0,2,3.0,0.0,0
1976,Summer,ESP,2,0,2,0,2.0,0.0,0
1976,Summer,IRI,2,0,1,1,2.0,0.0,0
1976,Summer,BRA,2,0,0,2,2.0,0.0,0
1976,Summer,POR,2,0,2,0,2.0,0.0,0
1976,Summer,MEX,2,1,0,1,2.0,0.0,0
1976,Summer,JAM,2,1,1,0,2.0,0.0,0
1976,Summer,NOR,2,1,1,0,2.0,0.0,0
1976,Summer,PRK,2,1,1,0,2.0,0.0,0
1976,Summer,TTO,1,1,0,0,1.0,0.0,0
1976,Summer,PAK,1,0,0,1,1.0,0.0,0
1976,Summer,PUR,1,0,0,1,1.0,0.0,0
1976,Summer,VEN,1,0,1,0,1.0,0.0,0
1976,Summer,THA,1,0,0,1,1.0,0.0,0
1976,Summer,AUT,1,0,0,1,1.0,0.0,0
1976,Summer,MGL,1,0,1,0,1.0,0.0,0
1976,Summer,BER,1,0,0,1,1.0,0.0,0
1976,Summer,NCA,0,0,0,0,0.0,0.0,0
1976,Summer,KUW,0,0,0,0,0.0,0.0,0
1976,Summer,EGY,0,0,0,0,0.0,0.0,0
1976,Summer,TUN,0,0,0,0,0.0,0.0,0
1976,Summer,ARG,0,0,0,0,0.0,0.0,0
1976,Summer,PAN,0,0,0,0,0.0,0.0,0
1976,Summer,PAR,0,0,0,0,0.0,0.0,0
1976,Summer,GRE,0,0,0,0,0.0,0.0,0
1976,Summer,MAS,0,0,0,0,0.0,0.0,0
1976,Summer,TUR,0,0,0,0,0.0,0.0,0
1976,Summer,KSA,0,0,0,0,0.0,0.0,0
1976,Summer,URU,0,0,0,0,0.0,0.0,0
1976,Summer,COL,0,0,0,0,0.0,0.0,0
1976,Summer,ISL,0,0,0,0,0.0,0.0,0
1976,Summer,IND,0,0,0,0,0.0,0.0,0
1976,Summer,PHI,0,0,0,0,0.0,0.0,0
1976,Summer,CRC,0,0,0,0,0.0,0.0,0
1976,Summer,DOM,0,0,0,0,0.0,0.0,0
1976,Summer,GUA,0,0,0,0,0.0,0.0,0
1976,Summer,ISV,0,0,0,0,0.0,0.0,0
1976,Summer,CIV,0,0,0,0,0.0,0.0,0
1976,Summer,SEN,0,0,0,0,0.0,0.0,0
1976,Summer,MAR,0,0,0,0,0.0,0.0,0
1976,Summer,ISR,0,0,0,0,0.0,0.0,0
1976,Summer,MON,0,0,0,0,0.0,0.0,0
1976,Summer,LUX,0,0,0,0,0.0,0.0,0
1976,Summer,SUR,0,0,0,0,0.0,0.0,0
1976,Summer,LIE,0,0,0,0,0.0,0.0,0
1976,Summer,IRL,0,0,0,0,0.0,0.0,0
1976,Summer,BAH,0,0,0,0,0.0,0.0,0
1976,Summer,PER,0,0,0,0,0.0,0.0,0
1976,Summer,SMR,0,0,0,0,0.0,0.0,0
1976,Summer,HKG,0,0,0,0,0.0,0.0,0
1976,Summer,HAI,0,0,0,0,0.0,0.0,0
1976,Summer,SGP,0,0,0,0,0.0,0.0,0
1976,Summer,ANT,0,0,0,0,0.0,0.0,0
1976,Summer,BAR,0,0,0,0,0.0,0.0,0
1976,Summer,PNG,0,0,0,0,0.0,0.0,0
1976,Summer,ECU,0,0,0,0,0.0,0.0,0
1976,Summer,AND,0,0,0,0,0.0,0.0,0
1976,Summer,CHI,0,0,0,0,0.0,0.0,0
1976,Summer,LIB,0,0,0,0,0.0,0.0,0
1976,Summer,AHO,0,0,0,0,0.0,0.0,0
1976,Summer,HON,0,0,0,0,0.0,0.0,0
1976,Summer,BOL,0,0,0,0,0.0,0.0,0
1976,Summer,INA,0,0,0,0,0.0,0.0,0
1976,Summer,CAY,0,0,0,0,0.0,0.0,0
1976,Summer,CMR,0,0,0,0,0.0,0.0,0
1976,Summer,NEP,0,0,0,0,0.0,0.0,0
1976,Summer,FIJ,0,0,0,0,0.0,0.0,0
1976,Summer,BIZ,0,0,0,0,0.0,0.0,0
1976,Winter,URS,27,13,6,8,16.0,11.0,0
1976,Winter,GDR,19,7,5,7,12.0,7.0,0
1976,Winter,FRG,10,2,5,3,6.0,4.0,0
1976,Winter,USA,10,3,3,4,4.0,6.0,0
1976,Winter,FIN,7,2,4,1,4.0,3.0,0
1976,Winter,NOR,7,3,3,1,6.0,1.0,0
1976,Winter,AUT,6,2,2,2,5.0,1.0,1
1976,Winter,NED,6,1,2,3,5.0,1.0,0
1976,Winter,SUI,5,1,3,1,5.0,0.0,0
1976,Winter,ITA,4,1,2,1,3.0,1.0,0
1976,Winter,CAN,3,1,1,1,1.0,2.0,0
1976,Winter,SWE,2,0,0,2,2.0,0.0,0
1976,Winter,LIE,2,0,0,2,1.0,1.0,0
1976,Winter,GBR,1,1,0,0,1.0,0.0,0
1976,Winter,FRA,1,0,0,1,0.0,1.0,0
1976,Winter,TCH,1,0,1,0,1.0,0.0,0
1976,Winter,JPN,0,0,0,0,0.0,0.0,0
1976,Winter,YUG,0,0,0,0,0.0,0.0,0
1976,Winter,ROU,0,0,0,0,0.0,0.0,0
1976,Winter,AND,0,0,0,0,0.0,0.0,0
1976,Winter,NZL,0,0,0,0,0.0,0.0,0
1976,Winter,BUL,0,0,0,0,0.0,0.0,0
1976,Winter,TUR,0,0,0,0,0.0,0.0,0
1976,Winter,POL,0,0,0,0,0.0,0.0,0
1976,Winter,SMR,0,0,0,0,0.0,0.0,0
1976,Winter,BEL,0,0,0,0,0.0,0.0,0
1976,Winter,AUS,0,0,0,0,0.0,0.0,0
1976,Winter,CHI,0,0,0,0,0.0,0.0,0
1976,Winter,TPE,0,0,0,0,0.0,0.0,0
1976,Winter,ARG,0,0,0,0,0.0,0.0,0
1976,Winter,ESP,0,0,0,0,0.0,0.0,0
1976,Winter,ISL,0,0,0,0,0.0,0.0,0
1976,Winter,IRI,0,0,0,0,0.0,0.0,0
1976,Winter,GRE,0,0,0,0,0.0,0.0,0
1976,Winter,KOR,0,0,0,0,0.0,0.0,0
1976,Winter,LIB,0,0,0,0,0.0,0.0,0
1976,Winter,HUN,0,0,0,0,0.0,0.0,0
1980,Summer,URS,195,80,69,46,147.0,48.0,1
1980,Summer,GDR,126,47,37,42,66.0,60.0,0
1980,Summer,BUL,41,8,16,17,34.0,7.0,0
1980,Summer,POL,32,3,14,15,27.0,5.0,0
1980,Summer,HUN,32,7,10,15,29.0,3.0,0
1980,Summer,ROU,25,6,6,13,14.0,11.0,0
1980,Summer,GBR,21,5,7,9,17.0,4.0,0
1980,Summer,CUB,20,8,7,5,19.0,1.0,0
1980,Summer,ITA,15,8,3,4,13.0,2.0,0
1980,Summer,TCH,14,2,3,9,12.0,2.0,0
1980,Summer,FRA,14,6,5,3,12.0,2.0,0
1980,Summer,SWE,12,3,3,6,11.0,1.0,0
1980,Summer,YUG,9,2,3,4,7.0,2.0,0
1980,Summer,AUS,9,2,2,5,7.0,2.0,0
1980,Summer,FIN,8,3,1,4,7.0,1.0,0
1980,Summer,ESP,6,1,3,2,6.0,0.0,0
1980,Summer,DEN,5,2,1,2,4.0,1.0,0
1980,Summer,PRK,5,0,3,2,5.0,0.0,0
1980,Summer,BRA,4,2,0,2,4.0,0.0,0
1980,Summer,MGL,4,0,2,2,4.0,0.0,0
1980,Summer,ETH,4,2,0,2,4.0,0.0,0
1980,Summer,MEX,4,0,1,3,4.0,0.0,0
1980,Summer,AUT,4,1,2,1,3.0,1.0,0
1980,Summer,NED,3,0,1,2,2.0,1.0,0
1980,Summer,JAM,3,0,0,3,2.0,1.0,0
1980,Summer,GRE,3,1,0,2,3.0,0.0,0
1980,Summer,SUI,2,2,0,0,2.0,0.0,0
1980,Summer,TAN,2,0,2,0,2.0,0.0,0
1980,Summer,IRL,2,0,1,1,2.0,0.0,0
1980,Summer,VEN,1,0,1,0,1.0,0.0,0
1980,Summer,IND,1,1,0,0,1.0,0.0,0
1980,Summer,UGA,1,0,1,0,1.0,0.0,0
1980,Summer,LIB,1,0,0,1,1.0,0.0,0
1980,Summer,BEL,1,1,0,0,1.0,0.0,0
1980,Summer,GUY,1,0,0,1,1.0,0.0,0
1980,Summer,ZIM,1,1,0,0,0.0,1.0,0
1980,Summer,KUW,0,0,0,0,0.0,0.0,0
1980,Summer,ALG,0,0,0,0,0.0,0.0,0
1980,Summer,IRQ,0,0,0,0,0.0,0.0,0
1980,Summer,SYR,0,0,0,0,0.0,0.0,0
1980,Summer,LBA,0,0,0,0,0.0,0.0,0
1980,Summer,CGO,0,0,0,0,0.0,0.0,0
1980,Summer,BEN,0,0,0,0,0.0,0.0,0
1980,Summer,POR,0,0,0,0,0.0,0.0,0
1980,Summer,TTO,0,0,0,0,0.0,0.0,0
1980,Summer,NGR,0,0,0,0,0.0,0.0,0
1980,Summer,SEY,0,0,0,0,0.0,0.0,0
1980,Summer,MLT,0,0,0,0,0.0,0.0,0
1980,Summer,GUI,0,0,0,0,0.0,0.0,0
1980,Summer,CRC,0,0,0,0,0.0,0.0,0
1980,Summer,CMR,0,0,0,0,0.0,0.0,0
1980,Summer,SLE,0,0,0,0,0.0,0.0,0
1980,Summer,AFG,0,0,0,0,0.0,0.0,0
1980,Summer,MOZ,0,0,0,0,0.0,0.0,0
1980,Summer,COL,0,0,0,0,0.0,0.0,0
1980,Summer,NCA,0,0,0,0,0.0,0.0,0
1980,Summer,MAD,0,0,0,0,0.0,0.0,0
1980,Summer,CYP,0,0,0,0,0.0,0.0,0
1980,Summer,ECU,0,0,0,0,0.0,0.0,0
1980,Summer,PER,0,0,0,0,0.0,0.0,0
1980,Summer,SEN,0,0,0,0,0.0,0.0,0
1980,Summer,ZAM,0,0,0,0,0.0,0.0,0
1980,Summer,NEP,0,0,0,0,0.0,0.0,0
1980,Summer,ISL,0,0,0,0,0.0,0.0,0
1980,Summer,LAO,0,0,0,0,0.0,0.0,0
1980,Summer,LUX,0,0,0,0,0.0,0.0,0
1980,Summer,ANG,0,0,0,0,0.0,0.0,0
1980,Summer,SMR,0,0,0,0,0.0,0.0,0
1980,Summer,DOM,0,0,0,0,0.0,0.0,0
1980,Summer,BOT,0,0,0,0,0.0,0.0,0
1980,Summer,VIE,0,0,0,0,0.0,0.0,0
1980,Summer,GUA,0,0,0,0,0.0,0.0,0
1980,Summer,SRI,0,0,0,0,0.0,0.0,0
1980,Summer,MLI,0,0,0,0,0.0,0.0,0
1980,Summer,NZL,0,0,0,0,0.0,0.0,0
1980,Summer,AND,0,0,0,0,0.0,0.0,0
1980,Summer,LES,0,0,0,0,0.0,0.0,0
1980,Summer,JOR,0,0,0,0,0.0,0.0,0
1980,Summer,PUR,0,0,0,0,0.0,0.0,0
1980,Summer,MYA,0,0,0,0,0.0,0.0,0
1980,Winter,GDR,23,9,7,7,15.0,8.0,0
1980,Winter,URS,22,10,6,6,14.0,8.0,0
1980,Winter,USA,12,6,4,2,8.0,4.0,1
1980,Winter,NOR,10,1,3,6,8.0,2.0,0
1980,Winter,FIN,9,1,5,3,6.0,3.0,0
1980,Winter,AUT,7,3,2,2,6.0,1.0,0
1980,Winter,FRG,5,0,2,3,2.0,3.0,0
1980,Winter,SUI,5,1,1,3,3.0,2.0,0
1980,Winter,SWE,4,3,0,1,4.0,0.0,0
1980,Winter,NED,4,1,2,1,2.0,2.0,0
1980,Winter,LIE,4,2,2,0,1.0,3.0,0
1980,Winter,CAN,2,0,1,1,2.0,0.0,0
1980,Winter,ITA,2,0,2,0,2.0,0.0,0
1980,Winter,JPN,1,0,1,0,1.0,0.0,0
1980,Winter,BUL,1,0,0,1,1.0,0.0,0
1980,Winter,FRA,1,0,0,1,0.0,1.0,0
1980,Winter,GBR,1,1,0,0,1.0,0.0,0
1980,Winter,TCH,1,0,0,1,0.0,1.0,0
1980,Winter,HUN,1,0,1,0,0.0,1.0,0
1980,Winter,ARG,0,0,0,0,0.0,0.0,0
1980,Winter,AUS,0,0,0,0,0.0,0.0,0
1980,Winter,ROU,0,0,0,0,0.0,0.0,0
1980,Winter,NZL,0,0,0,0,0.0,0.0,0
1980,Winter,CYP,0,0,0,0,0.0,0.0,0
1980,Winter,GRE,0,0,0,0,0.0,0.0,0
1980,Winter,BOL,0,0,0,0,0.0,0.0,0
1980,Winter,CHN,0,0,0,0,0.0,0.0,0
1980,Winter,YUG,0,0,0,0,0.0,0.0,0
1980,Winter,POL,0,0,0,0,0.0,0.0,0
1980,Winter,MGL,0,0,0,0,0.0,0.0,0
1980,Winter,ESP,0,0,0,0,0.0,0.0,0
1980,Winter,AND,0,0,0,0,0.0,0.0,0
1980,Winter,LIB,0,0,0,0,0.0,0.0,0
1980,Winter,KOR,0,0,0,0,0.0,0.0,0
1980,Winter,ISL,0,0,0,0,0.0,0.0,0
1980,Winter,CRC,0,0,0,0,0.0,0.0,0
1980,Winter,BEL,0,0,0,0,0.0,0.0,0
1984,Summer,USA,173,82,61,30,112.0,61.0,1
1984,Summer,FRG,59,17,19,23,41.0,18.0,0
1984,Summer,ROU,52,19,16,17,25.0,27.0,0
1984,Summer,CAN,44,10,18,16,28.0,16.0,0
1984,Summer,GBR,37,5,11,21,25.0,12.0,0
1984,Summer,ITA,32,14,6,12,28.0,4.0,0
1984,Summer,CHN,32,15,8,9,22.0,10.0,0
1984,Summer,JPN,31,10,7,14,28.0,3.0,0
1984,Summer,FRA,28,5,7,16,25.0,3.0,0
1984,Summer,AUS,24,4,8,12,17.0,7.0,0
1984,Summer,SWE,19,2,11,6,15.0,4.0,0
1984,Summer,KOR,19,6,6,7,15.0,4.0,0
1984,Summer,YUG,18,7,4,7,17.0,1.0,0
1984,Summer,NED,13,5,2,6,2.0,11.0,0
1984,Summer,FIN,12,4,2,6,11.0,1.0,0
1984,Summer,NZL,11,8,1,2,11.0,0.0,0
1984,Summer,BRA,8,1,5,2,8.0,0.0,0
1984,Summer,SUI,8,0,4,4,6.0,2.0,0
1984,Summer,MEX,6,2,3,1,6.0,0.0,0
1984,Summer,DEN,6,0,3,3,4.0,2.0,0
1984,Summer,ESP,5,1,2,2,5.0,0.0,0
1984,Summer,BEL,4,1,1,2,2.0,2.0,0
1984,Summer,KEN,3,1,0,2,3.0,0.0,0
1984,Summer,JAM,3,0,1,2,1.0,2.0,0
1984,Summer,NOR,3,0,1,2,2.0,1.0,0
1984,Summer,TUR,3,0,0,3,3.0,0.0,0
1984,Summer,VEN,3,0,0,3,3.0,0.0,0
1984,Summer,POR,3,1,0,2,2.0,1.0,0
1984,Summer,AUT,3,1,1,1,3.0,0.0,0
1984,Summer,ALG,2,0,0,2,2.0,0.0,0
1984,Summer,NGR,2,0,1,1,2.0,0.0,0
1984,Summer,MAR,2,2,0,0,1.0,1.0,0
1984,Summer,PUR,2,0,1,1,2.0,0.0,0
1984,Summer,GRE,2,0,1,1,2.0,0.0,0
1984,Summer,EGY,1,0,1,0,1.0,0.0,0
1984,Summer,CMR,1,0,0,1,1.0,0.0,0
1984,Summer,DOM,1,0,0,1,1.0,0.0,0
1984,Summer,CIV,1,0,1,0,1.0,0.0,0
1984,Summer,ISL,1,0,0,1,1.0,0.0,0
1984,Summer,PAK,1,1,0,0,1.0,0.0,0
1984,Summer,SYR,1,0,1,0,1.0,0.0,0
1984,Summer,PER,1,0,1,0,1.0,0.0,0
1984,Summer,THA,1,0,1,0,1.0,0.0,0
1984,Summer,COL,1,0,1,0,1.0,0.0,0
1984,Summer,IRL,1,0,1,0,1.0,0.0,0
1984,Summer,TPE,1,0,0,1,1.0,0.0,0
1984,Summer,ZAM,1,0,0,1,1.0,0.0,0
1984,Summer,CHI,0,0,0,0,0.0,0.0,0
1984,Summer,MAS,0,0,0,0,0.0,0.0,0
1984,Summer,JOR,0,0,0,0,0.0,0.0,0
1984,Summer,KSA,0,0,0,0,0.0,0.0,0
1984,Summer,BRN,0,0,0,0,0.0,0.0,0
